problem_description,question,answer,incorrect,is_ref
"While speeding up, a large truck pushes a small compact car.","How does Newton's third law apply to this situation?","The force exerted by the car onto the truck is equal in magnitude and opposite in direction compared to the force exerted by the truck onto the car.","0","0"
"A mover pushes a box so that it slides across a carpeted floor in a straight line at a constant speed. The push is horizontal.","What forces are acting on the box?","The forces acting on the box are the horizontal push from the mover, the normal force, and the gravitational force.","1","0"
"A car windshield collides with a mosquito, squashing it.","How do the amounts of the force exerted on the windshield by the mosquito and the force exerted on the mosquito by the windshield compare?","The forces are equal. Newton's third law states for every force there is an equal and opposite force.","0","0"
"A rocket is pushing a meteor with constant force. At one moment the rocket runs out of fuel and stops pushing the meteor. Assume that the meteor is far enough away from the sun and the planets to neglect gravity.","Can you name which of Newton's laws is relevant to this problem and why?","newton's first law is relevant","1","0"
"A mover pushes a box so that it slides across a carpeted floor in a straight line at a constant speed. The push is horizontal.","What forces are acting on the box?","There is the force being applied by the mover, a force resisting motion, gravitational force, and the normal force between the box and the ground.","0","0"
"Two hockey players pass a puck between them on an ice rink. Assume that the ice is very smooth so that there is no friction.","Based on Newton's first law, what can you say about the trajectory and speed of the puck?","they both will remain constant unless acted upon","1","0"
"Two hockey players pass a puck between them on an ice rink. Assume that the ice is very smooth so that there is no friction.","Based on Newton's first law, what can you say about the trajectory and speed of the puck?","it is traveling in a straight line with a constant velocity of zero","3","0"
"A mover pushes a desk with a horizontal force such that the desk moves with constant velocity v0 across a carpeted floor. Suddenly, the mover doubles his force.","Because the net force on the desk was zero before the mover doubled his force, what can you say about the relative magnitude of the mover's push and the opposing force of friction acting on the desk?","both the forces doubled","3","0"
"A car windshield collides with a mosquito, squashing it.","Can you articulate a principle or definition which justifies your answer?","Newton's third law of motion states that this is true","1","0"
"A mover pushes a box so that it slides across a carpeted floor in a straight line at a constant speed. The push is horizontal.","How does Newton's first law apply to this situation?","we can calculate the net force","3","0"
"A mover pushes a box so that it slides across a carpeted floor in a straight line at a constant speed. The push is horizontal.","How does Newton's first law apply to this situation?","Since the box is moving with a constant velocity, the net force on the box is zero and all the forces on the box balance.","0","1"
"A rocket is pushing a meteor with constant force. At one moment the rocket runs out of fuel and stops pushing the meteor. Assume that the meteor is far enough away from the sun and the planets to neglect gravity.","How will the meteor move after the rocket stops pushing?","The meteor will be at rest. The meteor will be a rest since there is no force acting on it after the rocket runs out of fuel. Using Newton's first law of motion, an object will remain at rest or a constant velocity unless a force acts on the object.","1","0"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","Given that the meteor starts at rest and then has a constant acceleration, what else can you say about the meteor's motion?","It's dispacement grows exponetially","3","0"
"A rocket is pushing a meteor with constant force. At one moment the rocket runs out of fuel and stops pushing the meteor. Assume that the meteor is far enough away from the sun and the planets to neglect gravity.","Can you articulate Newton's first law?","an object at rest stays at rest. an object in motion stays in motion in a straight line with constant velocity unless acted upon by some external force","0","0"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","Because it is a vector, acceleration provides what two types of information?","Acceleration provides information about speed and direction.","1","0"
"To rescue a child who has fallen down a well, rescue workers fasten him to a rope, the other end of which is then reeled in by a machine. The rope pulls the child straight upward at steady speed.","How does the amount of tension in the rope compare to the downward force of gravity acting on the child?","The tension of the rope and gravity are equal in magnitude but opposite in direction.","0","0"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","Given that the meteor starts at rest and then has a constant acceleration, what else can you say about the meteor's motion?","it is linear","1","0"
"A car windshield collides with a mosquito, squashing it.","How do the amounts of the force exerted on the windshield by the mosquito and the force exerted on the mosquito by the windshield compare?","The force exerted on the windshield by the mosquito equals the force exerted on the mosquito by the windshield.","3","0"
"A mover pushes a desk with a horizontal force such that the desk moves with constant velocity v0 across a carpeted floor. Suddenly, the mover doubles his force.","What can you say about the total or net force on the desk when the mover doubles his force?","ALL FORCES BALANCE OUT","3","0"
"Two hockey players pass a puck between them on an ice rink. Assume that the ice is very smooth so that there is no friction.","Based on Newton's first law, what can you say about the trajectory and speed of the puck?","it is constant","1","0"
"To rescue a child who has fallen down a well, rescue workers fasten him to a rope, the other end of which is then reeled in by a machine. The rope pulls the child straight upward at steady speed.","How does the amount of tension in the rope compare to the downward force of gravity acting on the child?","The amount of tension will be equal to the downward force of gravity.","0","0"
"A mover pushes a box so that it slides across a carpeted floor in a straight line at a constant speed. The push is horizontal.","Which horizontal forces acting on the box balance each other?","The horizontal push and the horizontal frictional force balance each other.","0","0"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","What does Newton's second law tell you about the direction of the ball's acceleration?","The direction is the same as the force acting on it; downwards","0","0"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","Because the ball's velocity is upward while the ball is moving upward and its acceleration is downward, what is happening to the ball's velocity?","decreasing","0","0"
"A rocket is pushing a meteor with constant force. At one moment the rocket runs out of fuel and stops pushing the meteor. Assume that the meteor is far enough away from the sun and the planets to neglect gravity.","How will the meteor move after the rocket stops pushing?","The meteor will begin to lose acceleration as soon as the force from the rocket stops.","0","0"
"Two hockey players pass a puck between them on an ice rink. Assume that the ice is very smooth so that there is no friction.","What forces are acting on the puck while the puck is moving on the ice between the two players? Describe the motion of the puck.","gravity and forward force and normal force","2","0"
"A mover pushes a box so that it slides across a carpeted floor in a straight line at a constant speed. The push is horizontal.","Which vertical forces acting on the box balance each other?","The normal force balances gravity.","0","1"
"To rescue a child who has fallen down a well, rescue workers fasten him to a rope, the other end of which is then reeled in by a machine. The rope pulls the child straight upward at steady speed.","What can you say about the amounts of the tension in the rope pulling the child and the force of gravity pulling the child downwards?","sdf","3","0"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","What does Newton's second law tell you about the direction of the ball's acceleration?","the direction is north and constant","3","0"
"A rocket is pushing a meteor with constant force. At one moment the rocket runs out of fuel and stops pushing the meteor. Assume that the meteor is far enough away from the sun and the planets to neglect gravity.","How will the meteor move after the rocket stops pushing?","The meteor will move with the speed of the rocket that it was pushed.","3","0"
"A mover pushes a desk with a horizontal force such that the desk moves with constant velocity v0 across a carpeted floor. Suddenly, the mover doubles his force.","What can you say about the speed of the desk? Explain why.","the speed of the desk will also double once the mover doubles his force","3","0"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","Because the ball's velocity is upward while the ball is moving upward and its acceleration is downward, what is happening to the ball's velocity?","The ball's velocity is changing.","1","0"
"A mover pushes a desk with a horizontal force such that the desk moves with constant velocity v0 across a carpeted floor. Suddenly, the mover doubles his force.","Which of Newton's laws could be useful to this problem and why?","The second law of Newton. Net force equals mass times acceleration. In this case the force applied is doubled but the the force of fricition is not. Therefore, the net force would equal double the force applied minus the friction equals the mass time acceleration. That means that the speed does not necessarily double.","0","0"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","Given that the meteor starts at rest and then has a constant acceleration, what else can you say about the meteor's motion?","The meteor's velocity will be increasing","0","0"
"A mover pushes a desk with a horizontal force such that the desk moves with constant velocity v0 across a carpeted floor. Suddenly, the mover doubles his force.","What can you say about the total or net force on the desk when the mover doubles his force?","the total net force increases when the mover doubles his force","1","0"
"Two hockey players pass a puck between them on an ice rink. Assume that the ice is very smooth so that there is no friction.","What can you say about the net horizontal force on the puck while moving on the ice between the players?","equal to the puck's mass divided by acceleration","3","0"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","Because the ball's velocity is upward while the ball is moving upward and its acceleration is downward, what is happening to the ball's velocity?","THE VELOCITY IS DECREASING","0","0"
"A mover pushes a box so that it slides across a carpeted floor in a straight line at a constant speed. The push is horizontal.","Which horizontal forces acting on the box balance each other?","The horizontal forces acting on the box that balance each other are the applied force that comes from the person poushing the box and the frictional force that comes from the moving on the floor. They are both opposite of each other so they balance each other.","0","0"
"While speeding up, a large truck pushes a small compact car.","How does Newton's third law apply to this situation?","since the truck is a force pushing upon the car, the car exerts an equal force upon the truck","1","0"
"Two hockey players pass a puck between them on an ice rink. Assume that the ice is very smooth so that there is no friction.","Can you articulate Newton's first law?","sad","3","0"
"While speeding up, a large truck pushes a small compact car.","How do the magnitudes, or amounts, of the forces they exert on each other compare?","The force of the truck on to the car is greater than the force of the car on to the truck. Thus the magnitudes are opposite from each other","2","0"
"Two hockey players pass a puck between them on an ice rink. Assume that the ice is very smooth so that there is no friction.","What can you say about the net horizontal force on the puck while moving on the ice between the players?","its zero","0","0"
"A mover pushes a box so that it slides across a carpeted floor in a straight line at a constant speed. The push is horizontal.","Can you articulate the definition or principle that helps us determine the forces?","We should look at Newton's 2nd law. The sum of the net forces are all the forces combined on both the vertical and hortizontal directions.","3","0"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","What does Newton's second law tell you about the direction of the ball's acceleration?","It shows that the acceleration will always be downward because of Earth's gravitys pull on all objects","0","0"
"Two hockey players pass a puck between them on an ice rink. Assume that the ice is very smooth so that there is no friction.","What forces are acting on the puck while the puck is moving on the ice between the two players? Describe the motion of the puck.","The forces acting on the puck are the normal force of the ice pushing up on it, gravity pulling it down, and the force exerted on it by the hockey players pushing it between them. The puck, with no friction, would move at a constant velocity between the two players, and would continue to do so if the players decided to stop pushing it, according to Newton's first law of motion, until another force acting on it caused the puck to stop.","3","0"
"A mover pushes a box so that it slides across a carpeted floor in a straight line at a constant speed. The push is horizontal.","Which vertical forces acting on the box balance each other?","gravity and normal force balance","0","0"
"A mover pushes a box so that it slides across a carpeted floor in a straight line at a constant speed. The push is horizontal.","Which vertical forces acting on the box balance each other?","The normal force and the force of gravity balance each other out.","0","0"
"While speeding up, a large truck pushes a small compact car.","How do the magnitudes, or amounts, of the forces they exert on each other compare?","The magnitudes are equal and opposite.","0","0"
"A mover pushes a desk with a horizontal force such that the desk moves with constant velocity v0 across a carpeted floor. Suddenly, the mover doubles his force.","What can you say about the speed of the desk?","The speed is also doubled because the force is doubled.","3","0"
"A car windshield collides with a mosquito, squashing it.","Can you articulate a principle or definition which justifies your answer?","Newton's third law explains that every action has an opposite and equal reaction.","0","0"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","What does Newton's second law tell you about the direction of the ball's acceleration?","When the ball is moving upward it has a positive acceleration.","3","0"
"To rescue a child who has fallen down a well, rescue workers fasten him to a rope, the other end of which is then reeled in by a machine. The rope pulls the child straight upward at steady speed.","What can you say about the amounts of the tension in the rope pulling the child and the force of gravity pulling the child downwards?","they are the same if the child is moving","2","0"
"Two hockey players pass a puck between them on an ice rink. Assume that the ice is very smooth so that there is no friction.","What can you say about the net horizontal force on the puck while moving on the ice between the players?","The net horizontal force is balanced.","0","0"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","Because the ball's velocity is upward while the ball is moving upward and its acceleration is downward, what is happening to the ball's velocity?","its velocity is decreasing","0","0"
"A car windshield collides with a mosquito, squashing it.","How does Newton's third law apply to this situation?","MOSQUITO EXERTS THE SAME AMOUNT OF FORCE","1","0"
"Two hockey players pass a puck between them on an ice rink. Assume that the ice is very smooth so that there is no friction.","What can you say about the net horizontal force on the puck while moving on the ice between the players?","it is zero","0","0"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","Given that the meteor starts at rest and then has a constant acceleration, what else can you say about the meteor's motion?","The meteor's motion will be in a straight line.","3","0"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","Given the non-zero net force acting on the meteor, what does Newton's second law say about the acceleration of the meteor?","It will be in the same direction as the applied net force","0","0"
"To rescue a child who has fallen down a well, rescue workers fasten him to a rope, the other end of which is then reeled in by a machine. The rope pulls the child straight upward at steady speed.","How does the amount of tension in the rope compare to the downward force of gravity acting on the child?","The tension force minus the weight of the child is what compares the downward force of gravity acting on the child.","3","0"
"A mover pushes a desk with a horizontal force such that the desk moves with constant velocity v0 across a carpeted floor. Suddenly, the mover doubles his force.","Which of Newton's laws could be useful to this problem and why?","Newton's first law.","1","0"
"A mover pushes a desk with a horizontal force such that the desk moves with constant velocity v0 across a carpeted floor. Suddenly, the mover doubles his force.","Which of Newton's laws could be useful to this problem and why?","Newton's first law is useful. The net force on the desk will be zero, seeing as the desk moves across a carpeted floor at a constant velocity.","0","0"
"To rescue a child who has fallen down a well, rescue workers fasten him to a rope, the other end of which is then reeled in by a machine. The rope pulls the child straight upward at steady speed.","How does the amount of tension in the rope compare to the downward force of gravity acting on the child?","The amount of tension in the rope is greater than the downward force of gravity acting on the child.","2","0"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","Can you identify which of Newton's laws is relevant to this problem and why?","Newton's first law is relevant to this problem because it explains that a constant non-zero force will have a constant mass and acceleration.","3","0"
"A mover pushes a desk with a horizontal force such that the desk moves with constant velocity v0 across a carpeted floor. Suddenly, the mover doubles his force.","Which other Newton law is relevant now given that we established that there is a non-zero net force on the desk after the mover doubles his force?","3RD","3","0"
"To rescue a child who has fallen down a well, rescue workers fasten him to a rope, the other end of which is then reeled in by a machine. The rope pulls the child straight upward at steady speed.","What can you say about the net force on the kid?","sdf","3","0"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","Given that the meteor starts at rest and then has a constant acceleration, what else can you say about the meteor's motion?","it will have a displacement","3","0"
"A car windshield collides with a mosquito, squashing it.","So, how do the amounts of the two forces (force on mosquito by the windshield and force on windshield by the mosquito) compare?","The force on the mosquito by the windshield is greater than the force exerted on the windshield by the mosquito.","3","0"
"A mover pushes a desk with a horizontal force such that the desk moves with constant velocity v0 across a carpeted floor. Suddenly, the mover doubles his force.","What can you say about the acceleration of the desk and its speed given a non-zero net force acting on it, after the mover doubles his push?","there is no acceleration and the desk moves at a constant speed","3","0"
"A car windshield collides with a mosquito, squashing it.","So, how do the amounts of the two forces (force on mosquito by the windshield and force on windshield by the mosquito) compare?","The amounts of the action and reaction forces are equal.","0","1"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","Given the non-zero net force acting on the meteor, what does Newton's second law say about the acceleration of the meteor?","it will be constant","0","0"
"While speeding up, a large truck pushes a small compact car.","How does Newton's third law apply to this situation?","The car and the truck have an opposite and equal reaction.","0","0"
"While speeding up, a large truck pushes a small compact car.","How do the magnitudes, or amounts, of the forces they exert on each other compare?","the magnitude of the forces are equal","0","0"
"A rocket is pushing a meteor with constant force. At one moment the rocket runs out of fuel and stops pushing the meteor. Assume that the meteor is far enough away from the sun and the planets to neglect gravity.","Can you articulate Newton's first law?","AN OBJECT IN MOTION WILL STAY IN MOTION IN A STRAIGHT LINE AT A CONSTANT VELOCITY IF NO EXTERNAL FORCE ACTS ON IT. AN OBJECT AT REST WILL STAY AT REST IF NO EXTERNALFORCE ACTS ON IT","0","0"
"While speeding up, a large truck pushes a small compact car.","Can you articulate a principle or definition which justifies your answer?","newtons first law","3","0"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","What does Newton's second law tell you about the direction of the ball's acceleration?","The direction of the ball's acceleration is the same the downward force of gravity.","0","1"
"A car windshield collides with a mosquito, squashing it.","How does Newton's third law apply to this situation?","The mosquito exerts a reation force onto the winshield because of the force of the car.","1","0"
"Two hockey players pass a puck between them on an ice rink. Assume that the ice is very smooth so that there is no friction.","What can you say about the net horizontal force on the puck while moving on the ice between the players?","The net horizontal force will be positive since it is sliding","3","0"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","Given that the meteor starts at rest and then has a constant acceleration, what else can you say about the meteor's motion?","The velocity will also increase","0","0"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","Can you articulate Newton's second law?","Newtons second law is the where acceleration is equal to the net force divided by the mass of the object","0","0"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","Can you identify which of Newton's laws is relevant to this problem and why?","Newton's first law is relevant.","1","0"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","Can you identify which of Newton's laws is relevant to this problem and why?","The second law is relevant because the problem describes a non-zero net force being applied on an object.","0","1"
"A mover pushes a box so that it slides across a carpeted floor in a straight line at a constant speed. The push is horizontal.","Can you articulate the definition or principle that helps us determine the forces?","For every action, there is an equal and opposite reaction. This principle explains the normal force. Also net force equals mass times acceleration. Since the velocity is constant and acceleratio is 0, the net force must also be 0 and the forces must balance.","3","0"
"A car windshield collides with a mosquito, squashing it.","How do the amounts of the force exerted on the windshield by the mosquito and the force exerted on the mosquito by the windshield compare?","The third law of Newton states that every force has an equal and opposite force. The force exerted on the windshield by the mosquito is equal to the force exerted on the mosquito by the windshield in magnitude but opposite in direction.","0","0"
"While speeding up, a large truck pushes a small compact car.","How do the magnitudes, or amounts, of the forces they exert on each other compare?","the force of the magnitude of the truck is greater than the magnitude of the smaller car","3","0"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","Given the non-zero net force acting on the meteor, what does Newton's second law say about the acceleration of the meteor?","the meteor has no acceleration","2","0"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","Given that the meteor starts at rest and then has a constant acceleration, what else can you say about the meteor's motion?","It will have a constant speed in a straight line.","2","0"
"A mover pushes a desk with a horizontal force such that the desk moves with constant velocity v0 across a carpeted floor. Suddenly, the mover doubles his force.","What can you say about the total or net force on the desk when the mover doubles his force?","The net force is still zero.","3","0"
"Two hockey players pass a puck between them on an ice rink. Assume that the ice is very smooth so that there is no friction.","What can you say about the net horizontal force on the puck while moving on the ice between the players?","The net horizontal force will be zero.","0","0"
"Two hockey players pass a puck between them on an ice rink. Assume that the ice is very smooth so that there is no friction.","What forces are acting on the puck while the puck is moving on the ice between the two players? Describe the motion of the puck.","There is the a pushing force and gravity acting on the puck","3","0"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","What does Newton's second law tell you about the direction of the ball's acceleration?","it is going upward","2","0"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","Because it is a vector, acceleration provides what two types of information?","magnitude and direction.","0","0"
"While speeding up, a large truck pushes a small compact car.","How does Newton's third law apply to this situation?","the trucks push causes a reaction from the smaller car","1","0"
"A rocket is pushing a meteor with constant force. At one moment the rocket runs out of fuel and stops pushing the meteor. Assume that the meteor is far enough away from the sun and the planets to neglect gravity.","How will the meteor move after the rocket stops pushing?","The meteor will move at a constant velocity.","1","0"
"A car windshield collides with a mosquito, squashing it.","How does Newton's third law apply to this situation?","The force exerted on the windshield by the mosquito was an action while the force exerted on the mosquited from the windshield was an equal and opposite reaction.","0","0"
"To rescue a child who has fallen down a well, rescue workers fasten him to a rope, the other end of which is then reeled in by a machine. The rope pulls the child straight upward at steady speed.","How does the amount of tension in the rope compare to the downward force of gravity acting on the child?","Since there is a steady speed, the tension in the rope will equal the force of gravity","0","0"
"While speeding up, a large truck pushes a small compact car.","Can you articulate a principle or definition which justifies your answer?","newton's law","3","0"
"Two hockey players pass a puck between them on an ice rink. Assume that the ice is very smooth so that there is no friction.","What can you say about the net horizontal force on the puck while moving on the ice between the players?","the net horizontal force is positive since there is no friction","3","0"
"A mover pushes a box so that it slides across a carpeted floor in a straight line at a constant speed. The push is horizontal.","Can you articulate the definition or principle that helps us determine the forces?","newton's second law","1","0"
"While speeding up, a large truck pushes a small compact car.","How does Newton's third law apply to this situation?","The force that the truck exerts of the small compact car is equal to and opposite the force the small compact car exerts on the truck.","0","0"
"A mover pushes a box so that it slides across a carpeted floor in a straight line at a constant speed. The push is horizontal.","What forces are acting on the box?","Horizontal force from mover, kinetic frictional force, gravitational force, and normal force.","0","0"
"Two hockey players pass a puck between them on an ice rink. Assume that the ice is very smooth so that there is no friction.","Can you articulate Newton's first law?","Newton's 1st law states that an object moving with a constant velocity will have a constant velocity until a force acts to change it","1","0"
"A mover pushes a box so that it slides across a carpeted floor in a straight line at a constant speed. The push is horizontal.","Can you articulate the definition or principle that helps us determine the forces?","the net forces are the sum of all the forces acting on the object","3","0"
"A mover pushes a desk with a horizontal force such that the desk moves with constant velocity v0 across a carpeted floor. Suddenly, the mover doubles his force.","What can you say about the speed of the desk?","The speed of the desk will also double.","3","0"
"A car windshield collides with a mosquito, squashing it.","How does Newton's third law apply to this situation?","It applies to the forces of the bug and windshield being exerted on one another, and why they react in such a way","3","0"
"To rescue a child who has fallen down a well, rescue workers fasten him to a rope, the other end of which is then reeled in by a machine. The rope pulls the child straight upward at steady speed.","What can you say about the net force on the kid?","The net force on the kid will be zero because gravity and the ground are both acting on the boy causing the force to equal zero","0","0"
"A mover pushes a desk with a horizontal force such that the desk moves with constant velocity v0 across a carpeted floor. Suddenly, the mover doubles his force.","Which of Newton's laws could be useful to this problem and why?","The second law because the Net force equals force applied times two minus the friction.","3","0"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","Can you articulate Newton's second law?","yes, force equals mass times acceleration","0","0"
"A mover pushes a desk with a horizontal force such that the desk moves with constant velocity v0 across a carpeted floor. Suddenly, the mover doubles his force.","Which other Newton law is relevant now given that we established that there is a non-zero net force on the desk after the mover doubles his force?","Newton's 2nd law is relevant.","0","1"
"A mover pushes a desk with a horizontal force such that the desk moves with constant velocity v0 across a carpeted floor. Suddenly, the mover doubles his force.","Which other Newton law is relevant now given that we established that there is a non-zero net force on the desk after the mover doubles his force?","newton's third law becomes relevant","3","0"
"A mover pushes a desk with a horizontal force such that the desk moves with constant velocity v0 across a carpeted floor. Suddenly, the mover doubles his force.","Which of Newton's laws could be useful to this problem and why?","all of them...","3","0"
"While speeding up, a large truck pushes a small compact car.","How does Newton's third law apply to this situation?","the large truck and the compact car exert equal and opposite forces on each other","0","0"
"While speeding up, a large truck pushes a small compact car.","Can you articulate a principle or definition which justifies your answer?","Whenever one object exerts a force on a second object, the second object exerts an equal and opposite force on the first.","0","1"
"A car windshield collides with a mosquito, squashing it.","How do the amounts of the force exerted on the windshield by the mosquito and the force exerted on the mosquito by the windshield compare?","The force exerted on the mosquito by the windshield is greated than the force exerted on the windshield by the mosquito","2","0"
"A mover pushes a desk with a horizontal force such that the desk moves with constant velocity v0 across a carpeted floor. Suddenly, the mover doubles his force.","What can you say about the speed of the desk? Explain why.","The speed of the desk will increase. Originally the forces cancel eachother out since the desk moves at a constant velocity. This is explained by Newton's first law of motion. However, when the force is doubled, the forces no longer cancel eachother out, and the speed of the desk will increase.","0","0"
"Two hockey players pass a puck between them on an ice rink. Assume that the ice is very smooth so that there is no friction.","What are the forces acting on the puck while it is between the players?","There is a downward force exerted on the puck by gravity. There is an upward normal force exerted on the puck from the ice.","0","0"
"A rocket is pushing a meteor with constant force. At one moment the rocket runs out of fuel and stops pushing the meteor. Assume that the meteor is far enough away from the sun and the planets to neglect gravity.","So, can you quickly apply Newton's first law to this problem?","THE METEOR WILL KEEP MOVING UNTIL THE NET FORCES EQUAL ZERO","3","0"
"A car windshield collides with a mosquito, squashing it.","How does Newton's third law apply to this situation?","FOR EVERY ACTION THERE IS AN EQUAL AND OPPOSITE REACTION AND THE BUG WAS SQUASHED","1","0"
"To rescue a child who has fallen down a well, rescue workers fasten him to a rope, the other end of which is then reeled in by a machine. The rope pulls the child straight upward at steady speed.","How does the amount of tension in the rope compare to the downward force of gravity acting on the child?","the tension force is balanced by the weight of the person","0","0"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","What does Newton's second law tell you about the direction of the ball's acceleration?","The direction of the ball's acceleration is negative, or downward.","0","0"
"A car windshield collides with a mosquito, squashing it.","How does Newton's third law apply to this situation?","The force exerted on the windshield by the mosquito and the force exerted on the mosquito by the windshield are equal and opposite as part of an action and reaction pair.","0","0"
"Two hockey players pass a puck between them on an ice rink. Assume that the ice is very smooth so that there is no friction.","Can you articulate Newton's first law?","an object is at rest until acted upon by a force","1","0"
"A mover pushes a desk with a horizontal force such that the desk moves with constant velocity v0 across a carpeted floor. Suddenly, the mover doubles his force.","What can you say about the total or net force on the desk when the mover doubles his force?","THE NET FORCE IS DOUBLED","3","0"
"Two hockey players pass a puck between them on an ice rink. Assume that the ice is very smooth so that there is no friction.","What are the forces acting on the puck while it is between the players?","Gravitaional force and normal force act on the puck","0","0"
"A mover pushes a desk with a horizontal force such that the desk moves with constant velocity v0 across a carpeted floor. Suddenly, the mover doubles his force.","What can you say about the speed of the desk? Explain why.","the speed doubles","3","0"
"A car windshield collides with a mosquito, squashing it.","How does Newton's third law apply to this situation?","the force exerted on the winshield by the mosquito equals the force exerted on the mosquito by the windshield.","0","0"
"A car windshield collides with a mosquito, squashing it.","How does Newton's third law apply to this situation?","there is an equal and opposite reaction in this case which refers to newton's third law","0","0"
"A mover pushes a desk with a horizontal force such that the desk moves with constant velocity v0 across a carpeted floor. Suddenly, the mover doubles his force.","What can you say about the total or net force on the desk when the mover doubles his force?","it remains zero","2","0"
"While speeding up, a large truck pushes a small compact car.","Can you articulate a principle or definition which justifies your answer?","equal and opposite forces","1","0"
"A mover pushes a desk with a horizontal force such that the desk moves with constant velocity v0 across a carpeted floor. Suddenly, the mover doubles his force.","What can you say about the total or net force on the desk when the mover doubles his force?","The net force equals zero","2","0"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","Given that the meteor starts at rest and then has a constant acceleration, what else can you say about the meteor's motion?","It will not have a constant velocity.","1","0"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","What does Newton's second law tell you about the direction of the ball's acceleration?","It equals gravity","0","0"
"A mover pushes a desk with a horizontal force such that the desk moves with constant velocity v0 across a carpeted floor. Suddenly, the mover doubles his force.","What can you say about the acceleration of the desk and its speed given a non-zero net force acting on it, after the mover doubles his push?","The acceleration and speed of the desk both increase","2","0"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","Because it is a vector, acceleration provides what two types of information?","It provides speed and direction.","3","0"
"While speeding up, a large truck pushes a small compact car.","How do the magnitudes, or amounts, of the forces they exert on each other compare?","The truck speeding up is pushing with a greter force until it is able to push the speed at a constant velocity when their forces finally ballence each other out.","3","0"
"A mover pushes a desk with a horizontal force such that the desk moves with constant velocity v0 across a carpeted floor. Suddenly, the mover doubles his force.","What can you say about the speed of the desk?","When the force on the desk is doubles, the desk will begin to accelerate until it reaches a constant velocity again.","3","0"
"Two hockey players pass a puck between them on an ice rink. Assume that the ice is very smooth so that there is no friction.","What can you say about the net horizontal force on the puck while moving on the ice between the players?","it is balanced","3","0"
"A mover pushes a box so that it slides across a carpeted floor in a straight line at a constant speed. The push is horizontal.","What forces are acting on the box?","The force of the man pushing the box and the force of friction against the box.","1","0"
"While speeding up, a large truck pushes a small compact car.","Can you articulate a principle or definition which justifies your answer?","Newton's third law states the there is equal forces exerted on by two objects on each other but they are opposite in direction.","0","0"
"A car windshield collides with a mosquito, squashing it.","Can you articulate a principle or definition which justifies your answer?","An equal force always balancing it out regardless of the different masses and weights.","3","0"
"A car windshield collides with a mosquito, squashing it.","How does Newton's third law apply to this situation?","both objects exert the same amount of force on each other","0","0"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","What does Newton's second law tell you about the direction of the ball's acceleration?","it points downwards","0","0"
"To rescue a child who has fallen down a well, rescue workers fasten him to a rope, the other end of which is then reeled in by a machine. The rope pulls the child straight upward at steady speed.","Can you articulate Newton's first law?","An object with zero net force will not move. An object with a constant net force will move with a constant speed and direction.","1","0"
